Titles	department
Lee, Sang-Young(이상영)	School of Energy and Chemical Engineering(에너지및화학공학부)
Lee, Sung Kuk(이성국)	School of Energy and Chemical Engineering(에너지및화학공학부)
Lim, Hankwon(임한권)	School of Energy and Chemical Engineering(에너지및화학공학부)
Park, Hyesung(박혜성)	School of Energy and Chemical Engineering(에너지및화학공학부)
Park, Jongnam(박종남)	School of Energy and Chemical Engineering(에너지및화학공학부)
Seok, Sang Il(석상일)	School of Energy and Chemical Engineering(에너지및화학공학부)
Seo, Kwanyong(서관용)	School of Energy and Chemical Engineering(에너지및화학공학부)
Song, Hyun-Kon(송현곤)	School of Energy and Chemical Engineering(에너지및화학공학부)
Yang, Changduk(양창덕)	School of Energy and Chemical Engineering(에너지및화학공학부)
Comuzzi, Marco(ComuzziMarco)	Graduate School of Technology and Innovation Management(기술경영전문대학원)
Jang, Hyunjin(장현진)	School of Management Engineering(경영공학부)
Kim, Sungil(김성일)	School of Management Engineering(경영공학부)
Lee, Changyong(이창용)	School of Management Engineering(경영공학부)
Lee, Junghye(이정혜)	School of Business Administration(경영학부)
Lee, Yongjae(이용재)	School of Management Engineering(경영공학부)
Lim, Chiehyeon(임치현)	School of Management Engineering(경영공학부)
Lim, Sunghoon(임성훈)	School of Management Engineering(경영공학부)
Woo, Hangyun(우한균)	Graduate School of Technology and Innovation Management(기술경영전문대학원)
Baik, Jeong Min(백정민)	School of Materials Science and Engineering(신소재공학부)
Cha, Chaenyung(차채녕)	School of Materials Science and Engineering(신소재공학부)
Chae, Han Gi(채한기)	School of Materials Science and Engineering(신소재공학부)
Choi, Kyoung Jin(최경진)	School of Materials Science and Engineering(신소재공학부)
Ding, Feng(DingFeng)	School of Materials Science and Engineering(신소재공학부)
Jo, Wook(조욱)	School of Materials Science and Engineering(신소재공학부)
Jun, Young Chul(전영철)	School of Materials Science and Engineering(신소재공학부)
Kim, Jiyun(김지윤)	School of Materials Science and Engineering(신소재공학부)
Kim, Ju-Young(김주영)	School of Materials Science and Engineering(신소재공학부)
Kwon, Min Sang(권민상)	School of Materials Science and Engineering(신소재공학부)
Kwon, Soon-Yong(권순용)	School of Materials Science and Engineering(신소재공학부)
Lee, Ki-Suk(이기석)	School of Materials Science and Engineering(신소재공학부)
Lee, Sukbin(이석빈)	School of Materials Science and Engineering(신소재공학부)
Lee, Zonghoon(이종훈)	School of Materials Science and Engineering(신소재공학부)
Park, Jang-Ung(박장웅)(2010-08~2018-09)	School of Materials Science and Engineering(신소재공학부)
Park, Lee Soon(박이순)	School of Materials Science and Engineering(신소재공학부)
Park, Sung Soo(박성수)	School of Materials Science and Engineering(신소재공학부)
Shin, Hyung-Joon(신형준)	School of Materials Science and Engineering(신소재공학부)
Song, Myoung Hoon(송명훈)	School of Materials Science and Engineering(신소재공학부)
Son, Jae Sung(손재성)	School of Materials Science and Engineering(신소재공학부)
Yoo, Jung-Woo(유정우)	School of Materials Science and Engineering(신소재공학부)
Ahn, Sangjoon(안상준)	School of Mechanical, Aerospace and Nuclear Engineering(기계항공및원자력공학부)
Bae, Joonbum(배준범)	School of Mechanical, Aerospace and Nuclear Engineering(기계항공및원자력공학부)
Bang, In Cheol(방인철)	School of Mechanical, Aerospace and Nuclear Engineering(기계항공및원자력공학부)
Byon, Chan(변찬)	School of Mechanical, Aerospace and Nuclear Engineering(기계항공및원자력공학부)
Fynan, Douglas A.(Douglas A. Fynan)	School of Mechanical, Aerospace and Nuclear Engineering(기계항공및원자력공학부)
Jang, Jaesung(장재성)	School of Mechanical, Aerospace and Nuclear Engineering(기계항공및원자력공학부)
Jeong, Hoon Eui(정훈의)	School of Mechanical, Aerospace and Nuclear Engineering(기계항공및원자력공학부)
Ji, Wooseok(지우석)	School of Mechanical, Aerospace and Nuclear Engineering(기계항공및원자력공학부)
Kang, Sang Hoon(강상훈)	School of Mechanical, Aerospace and Nuclear Engineering(기계항공및원자력공학부)
Ki, Hyungson(기형선)	School of Mechanical, Aerospace and Nuclear Engineering(기계항공및원자력공학부)
Kim, Duck Young(김덕영)	School of Mechanical, Aerospace and Nuclear Engineering(기계항공및원자력공학부)
Kim, Gun-Ho(김건호)	School of Mechanical, Aerospace and Nuclear Engineering(기계항공및원자력공학부)
Kim, Hee Reyoung(김희령)	School of Mechanical, Aerospace and Nuclear Engineering(기계항공및원자력공학부)
Kim, Ji Hyun(김지현)	School of Mechanical, Aerospace and Nuclear Engineering(기계항공및원자력공학부)
Kim, Jooha(김주하)	School of Mechanical, Aerospace and Nuclear Engineering(기계항공및원자력공학부)
Kim, Namhun(김남훈)	School of Mechanical, Aerospace and Nuclear Engineering(기계항공및원자력공학부)
Kim, Sung Youb(김성엽)	School of Mechanical, Aerospace and Nuclear Engineering(기계항공및원자력공학부)
Kim, Taesung(김태성)	School of Mechanical, Aerospace and Nuclear Engineering(기계항공및원자력공학부)
Kwon, Daeil(권대일)	School of Mechanical, Aerospace and Nuclear Engineering(기계항공및원자력공학부)
Lee, Deokjung(이덕중)	School of Mechanical, Aerospace and Nuclear Engineering(기계항공및원자력공학부)
Lee, Jae Hwa(이재화)	School of Mechanical, Aerospace and Nuclear Engineering(기계항공및원자력공학부)
Lee, Jaeseon(이재선)	School of Mechanical, Aerospace and Nuclear Engineering(기계항공및원자력공학부)
Oh, Hyondong(오현동)	School of Mechanical, Aerospace and Nuclear Engineering(기계항공및원자력공학부)
Oh, Joo Hwan(오주환)	School of Mechanical, Aerospace and Nuclear Engineering(기계항공및원자력공학부)
Park, Hyung Wook(박형욱)	School of Mechanical, Aerospace and Nuclear Engineering(기계항공및원자력공학부)
Park, Jaeyeong(박재영)	School of Mechanical, Aerospace and Nuclear Engineering(기계항공및원자력공학부)
Park, Young-Bin(박영빈)	School of Mechanical, Aerospace and Nuclear Engineering(기계항공및원자력공학부)
Shin, Heungjoo(신흥주)	School of Mechanical, Aerospace and Nuclear Engineering(기계항공및원자력공학부)
